numero-da-portaria,data-de-publicacao,descricao-sobre-o-assunto-de-que-trata-a-portaria
43,2023-01-18 00:00:00,Dispõe sobre a nomeação de servidor para compor temporariamente o Rol de Responsáveis pela gestão do IFMG Campus São João Evangelista.
44,2023-01-18 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
45,2023-01-18 00:00:00,Dispõe sobre retificação do anexo I da Portaria IFMG nº 1071 de 05 de outubro de 2022.
46,2023-01-19 00:00:00,Dispõe sobre Licença para Tratar de Interesses Particulares a servidora do IFMG - Campus Bambuí.
47,2023-01-19 00:00:00,Dispõe sobre autorização de funcionamento de jornada flexibilizada dos servidores Técnico-Administrativo em Educação (TAE) do IFMG - Campus Ouro Branco e Revogação da Portaria IFMG nº 425 de 13/04/2022.
48,2023-01-19 00:00:00,Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG por Servidores indicados pelo Diretor Geral do Campus.
49,2023-01-20 00:00:00,Dispõe sobre Licença para Capacitação de servidora do IFMG – Campus Ouro Branco.
50,2023-01-20 00:00:00,Dispõe sobre Interrupção de Férias de servidor do IFMG.
51,2023-01-20 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Formiga.
52,2023-01-20 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
53,2023-01-20 00:00:00,Dispõe sobre Afastamento para Participação em Ação de Desenvolvimento em Serviço de servidor do IFMG - Reitoria.
54,2023-01-20 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidor(a) do IFMG - Reitoria.
55,2023-01-20 00:00:00,Dispõe sobre a Concessão de Aposentadoria Voluntária para servidor do IFMG - Campus Bambuí.
56,2023-01-20 00:00:00,Dispõe sobre autorização do funcionamento da jornada de trabalho flexibilizada aos TAE’s da Unidade Organizacional Diretoria De Ensino - DDE – Campus São João Evangelista.
57,2023-01-20 00:00:00,Torna sem efeito a Portaria IFMG nº 14 de 06 de janeiro de 2023.
58,2023-01-20 00:00:00,Dispõe sobre o horário de funcionamento e atendimento da Reitoria do IFMG e revoga a Portaria IFMG nº 1120/2019.
60,2023-01-23 00:00:00,Dispõe sobre Interrupção de Férias de servidor do IFMG - Campus Bambuí.
61,2023-01-23 00:00:00,Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no país de servidor do IFMG - Reitoria.
62,2023-01-23 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Formiga.
63,2023-01-23 00:00:00,Dispõe sobre Licença para Capacitação de servidora do IFMG – Campus Ribeirão das Neves.
64,2023-01-23 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Avançado Piumhi.
65,2023-01-23 00:00:00,Dispõe sobre Licença para Capacitação de servidora do IFMG – Campus Formiga.
66,2023-01-23 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidor Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
67,2023-01-23 00:00:00,Dispõe sobre Interrupção de Férias do servidor do IFMG - Campus Avançado Arcos.
68,2023-01-23 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidora Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
69,2023-01-24 00:00:00,Dispõe sobre a designação dos Gestores de Contratos e/ou Convênios Administrativos e seus substitutos no âmbito do IFMG e revogação da portaria 1234 de 24 de novembro de 2022.
70,2023-01-24 00:00:00,Dispõe sobre nomeação de Técnicos Administrativos em Educação para o IFMG – Campus Ouro Branco.
71,2023-01-24 00:00:00,Dispõe sobre nomeação de Técnicos Administrativos em Educação para o IFMG – Campus Ouro Branco.
72,2023-01-24 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Avançado Ponte Nova"
73,2023-01-24 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Avançado Ponte Nova"
74,2023-01-24 00:00:00,Dispõe sobre a Concessão de Aposentadoria Voluntária para servidor do IFMG - Campus Ouro Preto.
75,2023-01-24 00:00:00,Dispõe sobre a alteração do regime de trabalho de Técnico Administrativo do IFMG – Campus Sabará.
76,2023-01-24 00:00:00,Dispõe sobre Suspensão de Afastamento para Pós-graduação Stricto-Sensu no País de servidor do Campus Governador Valadares.
77,2023-01-24 00:00:00,Dispõe sobre Interrupção de Férias do servidor do IFMG - Campus Avançado Itabirito.
78,2023-01-25 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato IFMG nº 24/2018.
79,2023-01-25 00:00:00,Dispõe sobre Retificação da Portaria IFMG nº 1111 de 13 de outubro de 2022.
80,2023-01-25 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato IFMG nº 24/2018.
81,2023-01-25 00:00:00,Dispõe sobre interrupção de férias de servidora do IFMG - Campus Formiga.
82,2023-01-25 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidor do IFMG - Campus Betim.
83,2023-01-25 00:00:00,"Dispõe sobre a autorização de funcionamento do Curso de Licenciatura em Educação Física, no IFMG campus Bambuí."
84,2023-01-25 00:00:00,"Dispõe sobre o Regimento Interno do Campus Avançado Itabirito do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais."
85,2023-01-25 00:00:00,"Dispõe sobre o Regimento Interno do Campus Congonhas do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais."
86,2023-01-25 00:00:00,"Dispõe sobre Aprovação do Regimento Interno do Campus Avançado Ipatinga do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais."
87,2023-08-25 00:00:00,Dispõe sobre a Concessão de Abono de Permanência para servidor do IFMG Campus Ouro Preto.
88,2023-01-25 00:00:00,Dispõe sobre a criação de Comissão Especial de servidores para atuarem junto à Corregedoria Geral do IFMG.
89,2023-01-25 00:00:00,Dispõe sobre Interrupção de Férias de servidora do IFMG - Campus Avançado Ponte Nova.
90,2023-01-25 00:00:00,Dispõe sobre Suspensão de Licença para Capacitação de servidora do IFMG – Campus Formiga.
91,2023-01-26 00:00:00,Dispõe sobre Tornar sem Efeito a Portaria IFMG nº 89 de 25 de janeiro de 2023.
92,2023-01-26 00:00:00,Dispõe sobre Retificação da Portaria IFMG nº 1049 de 03 de outubro de 2022.
93,2023-01-26 00:00:00,Dispõe sobre autorização do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus Ouro Preto e Revogação da portaria nº 49 de 15 de janeiro de 2020.
94,2023-01-26 00:00:00,Dispõe sobre Retificação da Portaria nº 529 de 13 de maio de 2022.
95,2023-01-26 00:00:00,"Dispõe sobre Prorrogação de Afastamento para Pós-graduação Stricto-Sensu no País de Professora do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Ibirité."
96,2023-01-26 00:00:00,"Dispõe sobre constituição de Comissão Organizadora Central de Concursos Públicos, no âmbito do IFMG​ e Revogação da Portaria nº 854/2022."
97,2023-01-26 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidor do IFMG - Reitoria.
98,2023-01-26 00:00:00,Dispõe sobre Exoneração de servidor do Instituto Federal de Minas Gerais – Campus Ibirité.
99,2023-01-27 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
100,2023-01-27 00:00:00,Dispõe sobre remoção de servidor Professor EBTT- IFMG Campus Avançado Arcos para o IFMG Campus Bambuí.
101,2023-01-30 00:00:00,"Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Betim. 

"
102,2023-01-30 00:00:00,"Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Betim. 

"
103,2023-01-30 00:00:00,"Dispõe sobre instituição do Grupo de Trabalho Institucional de acompanhamento do processo de monitoramento dos indicadores de Rede e Institucionais na Educação Profissional e Tecnológica, por meio do Sistema Monitor, no IFMG."
104,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG-Campus Arcos, por Servidores indicados pelo Diretor Geral do Campus. "
105,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG- Campus Bambuí, por Servidores indicados pelo Diretor Geral do Campus e Servidores inscritos no Edital de chamada pública 53/2021."
106,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG - Campus Betim, por Servidores indicados pelo Diretor Geral do Campus e Servidores inscritos no Edital de chamada pública 53/2021."
107,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG - Campus Conselheiro Lafaiete, por Servidores indicados pelo Diretor Geral do Campus."
108,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG - Campus Congonhas, por Servidores indicados pelo Diretor Geral do Campus e Servidores inscritos no Edital de chamada pública 53/2021."
109,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG - Campus Formiga, por Servidores indicados pelo Diretor Geral do Campus e Servidores inscritos no Edital de chamada pública 53/2021."
110,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG - Campus Governador Valadares, por Servidores indicados pelo Diretor Geral do Campus e Servidores inscritos no Edital de chamada pública 53/2021.

"
111,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG-Campus Ibirité, por Servidores indicados pelo Diretor Geral do Campus e Servidores inscritos no Edital de chamada pública 53/2021.

"
112,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG - Campus Ipatinga, por Servidores indicados pelo Diretor Geral do Campus e Servidores inscritos no Edital de chamada pública 53/2021.

"
113,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG - Campus Itabirito, por Servidores indicados pelo Diretor Geral do Campus."
114,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG - Campus Ouro Branco, por Servidores inscritos no Edital de chamada pública 53/2021."
115,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG - Campus Piumhi, por Servidores indicados pelo Diretor Geral do Campus e Servidores inscritos no Edital de chamada pública 53/2021."
116,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG - Campus Ponte Nova, por Servidores indicados pelo Diretor Geral do Campus e Servidores inscritos no Edital de chamada pública 53/2021."
117,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG - Campus Ribeirão das Neves, por Servidores indicados pelo Diretor Geral do Campus e Servidores inscritos no Edital de chamada pública 53/2021."
118,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG - Campus Sabará, por Servidores indicados pelo Diretor Geral do Campus e Servidores inscritos no Edital de chamada pública 53/2021."
119,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG - Campus Santa Luzia, por Servidores inscritos no Edital de chamada pública 53/2021."
120,2023-01-31 00:00:00,"Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG-Campus São João Evangelista, por Servidores indicados pelo Diretor Geral do Campus e Servidores inscritos no Edital de chamada pública 53/2021."
121,2023-01-31 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidora do IFMG - Campus Formiga.
122,2023-01-31 00:00:00,Dispõe sobre a Concessão de Abono de Permanência para servidora do IFMG - Campus São João Evangelista.
123,2023-01-31 00:00:00,"Dispõe sobre Prorrogação de Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Ibirité."
124,2023-01-31 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Avançado Itabirito.
125,2023-01-31 00:00:00,Dispõe sobre prorrogação do período do mandato dos membros da Comissão Interna de Supervisão do Plano de Carreira dos Cargos Técnico-Administrativos em
126,2023-02-01 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
127,2023-02-01 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
128,2023-02-01 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
129,2023-02-01 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
130,2023-02-01 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidor do IFMG - Campus Betim.
131,2023-02-01 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidor do IFMG - Campus Ouro Preto.
132,2023-02-01 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidores Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
133,2023-02-01 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidores Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
134,2023-02-01 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidora do IFMG - Campus Ouro Preto.
135,2023-02-01 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidor do IFMG - Campus Ribeirão das Neves.
136,2023-02-01 00:00:00,Dispõe sobre Concessão de horário especial à Servidora do IFMG – Campus Ponte Nova.
