numero-da-portaria,data-de-publicacao,descricao-sobre-o-assunto-de-que-trata-a-portaria
302,2023-03-16 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidora do IFMG - Campus Congonhas.
303,2023-03-17 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
304,2023-03-17 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 03/2023.
305,2023-03-17 00:00:00,Dispõe sobre Renovação do grupo de trabalho para análise de processos e regras de ensino para o SUAP Educacional no IFMG.
306,2023-03-20 00:00:00,Dispõe sobre interrupção de férias de servidora do IFMG - Campus Congonhas.
307,2023-03-20 00:00:00,"Dispõe sobre Concessão de Incentivo à Qualificação a servidora Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - Reitoria."
308,2023-03-20 00:00:00,Dispõe sobre nomeação de Técnicos Administrativos em Educação para o IFMG – Campus Congonhas.
309,2023-03-20 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Ribeirão das Neves.
310,2023-03-21 00:00:00,Dispõe sobre regulamentação do Plano Plurianual de Infraestrutura no âmbito do IFMG.
311,2023-03-22 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 02/2023 e Revogação da Portaria nº 148 de 02 de fevereiro de 2023.
313,2023-03-22 00:00:00,Dispõe sobre a Reversão de Aposentadoria e retorno à atividade de servidora Docente do Campus Ouro Preto.
314,2023-03-22 00:00:00,"Dispõe sobre remoção de servidora Técnico Administrativo - IFMG-Campus Bambuí para a Reitoria.
"
315,2023-03-23 00:00:00,Dispõe sobre a autorização do funcionamento da jornada de trabalho flexibilizada na UO Núcleo de Apoio ao Educando (NAE) do IFMG – Campus Ribeirão das Neves e Revogação da Portaria nº 976 de 09 de setembro de 2022.
316,2023-03-23 00:00:00,"Dispõe sobre Concessão de Incentivo à Qualificação a servidora Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - Campus Itabirito."
317,2023-03-24 00:00:00,Dispõe sobre a retificação da Portaria IFMG nº 120 de 31 de janeiro de 2023.
318,2023-03-24 00:00:00,Dispõe sobre a Concessão de Abono de Permanência para servidora do IFMG Reitoria.
319,2023-03-27 00:00:00,Dispõe sobre Licença para Capacitação de servidora do IFMG - Reitoria.
320,2023-03-27 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 33/2019 e Revogação da Portaria n° 292 de 14 de março de 2023.
321,2023-03-27 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Sabará."
322,2023-03-27 00:00:00,Dispõe sobre instituição do Manual de Sanções Administrativas em Licitações e Contratos do IFMG.
324,2023-03-27 00:00:00,Dispõe sobre Retificação da Portaria nº 300 de 16 de março de 2023.
325,2023-03-27 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Reitoria.
326,2023-03-27 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional à servidora Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
327,2023-03-27 00:00:00,Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no país de servidora do IFMG - Campus Congonhas.
328,2023-03-28 00:00:00,Dispõe sobre retificação da Portaria nº 175 de 02 de março de 2012.
329,2023-03-28 00:00:00,Dispõe sobre Concessão de Progressão por Mérito Profissional a servidora Técnico-Administrativo em Educação do IFMG – Reitoria.
330,2023-03-28 00:00:00,Dispõe sobre a Retificação de Portaria nº 318 de 24 de março de 2023.
331,2023-03-28 00:00:00,Dispõe sobre suspensão do funcionamento presencial ininterrupto no âmbito da Seção de Gestão de Pessoas no IFMG - Campus Formiga e Revogação da Portaria nº 337 de 22 de março de 2022.
332,2023-03-28 00:00:00,Dispõe sobre suspensão do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus Governador Valadares e Revogação da Portaria nº 260 de 02 de março de 2020.
333,2023-03-29 00:00:00,Dispõe sobre a Concessão de Pensão Civil – Instituidor: Altamiro Gomes de Oliveira - IFMG – Campus Bambuí.
334,2023-03-29 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Bambuí.
335,2023-03-29 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Bambuí.
336,2023-03-29 00:00:00,Dispõe sobre Licença para Capacitação de servidora do IFMG – Campus Formiga.
337,2023-03-29 00:00:00,"Dispõe sobre Prorrogação de Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Formiga."
338,2023-03-29 00:00:00,Dispõe sobre aprovação do Regimento Interno da Comissão de Ética no Uso de Animais do IFMG (CEUA-IFMG).
339,2023-03-29 00:00:00,Dispõe sobre suspensão do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus Governador Valadares e Revogação da Portaria nº 753 de 14 de julho de 2022.
340,2023-03-29 00:00:00,Dispõe sobre autorização de funcionamento de jornada flexibilizada dos servidores Técnico-Administrativo em Educação (TAE) do IFMG - Campus Bambuí e Revogação da portaria nº 1079 de 07 de outubro de 2022.
341,2023-03-29 00:00:00,Dispõe sobre suspensão do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus São João Evangelista e Revogação das Portarias nº 185 de 10/02/2022 e 659 de 09/06/2020.
342,2023-03-29 00:00:00,Dispõe sobre atualização e autorização do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus Formiga e Revogação da Portaria nº 853 de 04 de agosto de 2022.
343,2023-03-29 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 14/2019/RER e Revogação da Portaria nº 266 de 08 de março de 2023.
344,2023-03-29 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 15/2019/RER e Revogação da Portaria nº 819 de 29 de julho de 2022.
345,2023-03-29 00:00:00,Dispõe sobre autorização do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus Formiga e Revogação da Portaria nº 1295 de 14 de dezembro de 2022.
346,2023-03-30 00:00:00,Dispõe sobre autorização relacionada a processos licitatórios do IFMG.
347,2023-03-29 00:00:00,Dispõe sobre retificação da Portaria nº 314 de 22 de março de 2023.
348,2023-03-29 00:00:00,Dispõe sobre a Concessão de Aposentadoria por Invalidez Permanente para servidora Professora EBTT do IFMG – Campus Bambuí.
349,2023-03-29 00:00:00,Dispõe sobre interrupção de férias de servidora do IFMG - Reitoria e Tornar sem efeito a Portaria nº 1157 de 31 de outubro de 2022.
350,2023-03-30 00:00:00,Dispõe sobre designação de Comissão Avaliadora - Edital 19/2023- Apoio Financeiro à Publicação de Artigos Científicos em Periódicos Internacionais.
351,2023-03-30 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Congonhas.
352,2023-03-30 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato nº 64/2022.
353,2023-03-30 00:00:00,"Dispõe sobre a declaração de luto oficial por 03 (três) dias, em razão do falecimento de docente do IFMG - Campus Formiga."
354,2023-03-30 00:00:00,Dispõe sobre remoção por permuta de servidor Docente do IFMG Campus Santa Luzia e Campus Ibirité.
355,2023-03-30 00:00:00,Dispõe sobre Exoneração de servidora do Instituto Federal de Minas Gerais – Campus Ouro Branco.
357,2023-04-03 00:00:00,Dispõe sobre retificação da Portaria nº 1132 de 13 de setembro de 2019.
358,2023-04-03 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Conselheiro Lafaiete
359,2023-04-04 00:00:00,"Dispõe sobre a retificação da Portaria 296, de 16 de março de 2023."
360,2023-04-04 00:00:00,Dispõe sobre Afastamento para Participação em Ação de Desenvolvimento em Serviço de servidor do IFMG - Campus Avançado Conselheiro Lafaiete.
361,2023-04-04 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Santa Luzia."
362,2023-04-04 00:00:00,"Dispõe sobre a autorização de funcionamento do Curso de Pós-Graduação Lato Sensu em Educação, no IFMG, Campus Ribeirão das Neves."
363,2023-04-04 00:00:00,"Dispõe sobre a Constituição da Comissão de Processos Administrativos no Âmbito das Licitações e Contratos no Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - IFMG."
364,2023-04-04 00:00:00,Dispõe sobre designação de presidente da Comissão Própria de Avaliação do IFMG.
365,2023-04-05 00:00:00,"Dispõe sobre Tornar sem Efeito a Portaria 1041 de 29 de setembro de 2022, do cargo Professor do Ensino Básico, Técnico e Tecnológico, Área de Engenharia Elétrica - Campus Formiga."
366,2023-04-05 00:00:00,Dispõe sobre instituição da Comissão Permanente de Vestibulares e Processos Seletivos - COPEVES/LOCAL-IFMG-CAMPUS OURO PRETO para atuar nos Processos Seletivos dos anos 2022/2023 e Revogação da Portaria IFMG nº 1016 de 22 de setembro 2022.
367,2023-04-05 00:00:00,"Dispõe sobre a publicação da relação de concluintes que obtiveram o Certificado de Conclusão do Ensino Médio expedido eletronicamente pelo Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - IFMG com base nos resultados de desempenho obtidos no Exame Nacional para Certificação de Competências de Jovens e Adultos - Encceja."
368,2023-04-05 00:00:00,Dispõe sobre Compradores de passagens aéreas
369,2023-04-10 00:00:00,Dispõe sobre Afastamento para Participação em Ação de Desenvolvimento em Serviço de servidora do IFMG - Reitoria.
370,2023-04-10 00:00:00,"Dispõe sobre a suspensão da jornada flexibilizada da Unidade Organizacional Coordenação de Compras, Contratos e Finanças do IFMG-Campus Betim."
371,2023-04-10 00:00:00,Dispõe sobre exoneração de servidor de cargo - campus Arcos.
372,2023-04-10 00:00:00,Dispõe sobre a suspensão de jornada flexibilizada da Unidade Organizacional Administrativa do IFMG - Campus Ipatinga.
373,2023-04-10 00:00:00,Dispõe sobre a suspensão de jornada flexibilizada do da unidade Administração e Planejamento do campus Santa Luzia.
374,2023-04-10 00:00:00,Dispõe sobre autorização do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus São João Evangelista.
375,2023-04-10 00:00:00,Dispõe sobre suspensão do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus Bambuí e Revogação da Portaria nº 342 de 23 de março de 2022.
376,2023-04-10 00:00:00,Dispõe sobre Licença para Tratar de Interesses Particulares - servidor do IFMG - Campus Arcos.
377,2023-04-10 00:00:00,Dispõe sobre a suspensão de jornada flexibilizada do Núcleo de Administração e Planejamento do IFMG - Campus Ponte Nova e Revogação da Portaria nº 452 de 25 de abril de 2022.
378,2023-04-10 00:00:00,Dispõe sobre suspensão do funcionamento presencial ininterrupto no âmbito da Seção de Administração do Polo e Inovação e Revogação Portaria 452 de 25 de abril de 2022.
379,2023-04-10 00:00:00,Dispõe sobre suspensão do funcionamento presencial ininterrupto no âmbito da Coordenação de Administração e Planejamento do IFMG - Campus Avançado Itabirito e Revogação da Portaria nº 1163 de 31 de outubro de 2022.
380,2023-04-10 00:00:00,Dispõe sobre nomeação de servidor para cargo - Reitoria
381,2023-04-10 00:00:00,Dispõe sobre nomeação de servidor para responder pelo expediente no IFMG - Campus Avançado Arcos.
382,2023-04-10 00:00:00,Dispõe sobre a suspensão de jornada flexibilizada do da unidade Seção de Administração e Planejamento do IFMG - Campus Congonhas e Revogação da Portaria 677 de 21 de junho de 2022.
383,2023-04-10 00:00:00,"Dispõe sobre Retificação da Portaria IFMG nº 301 de 16 de março de 2023, que dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no país de servidor do IFMG - Campus Ouro Branco."
384,2023-04-10 00:00:00,"Dispõe sobre a suspensão da jornada flexibilizada na Unidade Organizacional Coordenação de Compras, Contratos e Finanças do IFMG - Campus Betim e Revogação da Portaria nº 452 de 25 de abril de 2022"
385,2023-04-10 00:00:00,"Dispõe sobre suspensão do funcionamento presencial ininterrupto, no âmbito da Unidade Organizacional: Seção de Administração e Infraestrutura do IFMG - Campus Ribeirão das Neves e Revogação da Portaria nº 323 de 18 de março de 2022."
386,2023-04-10 00:00:00,Dispõe sobre retificação da Portaria nº 1044 de 29 de setembro de 2022.
387,2023-04-10 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidor Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
388,2023-04-10 00:00:00,Dispõe sobre Tornar público o auxílio funeral referente ao óbito de ex-servidor do IFMG - Campus São João Evangelista.
389,2023-04-10 00:00:00,Dispõe sobre Tornar público o auxílio funeral referente ao óbito de ex-servidora do IFMG - Campus Ouro Preto.
390,2023-04-10 00:00:00,Dispõe sobre suspensão do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus Bambuí e Revogação das Portarias IFMG 334/2022 e 1248/2022.
391,2023-04-11 00:00:00,"Dispõe sobre a autorização de funcionamento do Curso de Pós-Graduação Lato Sensu em Meio Ambiente, no IFMG, Campus São João Evangelista."
392,2023-04-11 00:00:00,"Dispõe sobre a autorização de funcionamento do Curso de Pós-Graduação Lato Sensu em Proteção e Defesa Civil, no IFMG, Campus Santa Luzia."
393,2023-04-11 00:00:00,Dispõe sobre Afastamento para Participação em Ação de Desenvolvimento em Serviço de servidor do IFMG - Reitoria.
394,2023-04-11 00:00:00,Dispõe sobre Licença para Capacitação de servidora do IFMG – Reitoria.
395,2023-04-11 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Reitoria.
396,2023-04-11 00:00:00,Dispõe sobre suspensão do funcionamento presencial ininterrupto no âmbito da Seção de Planejamento e Orçamento do IFMG - Campus Formiga e Revogação da Portaria nº 1262 de 05 de dezembro de 2022.
397,2023-04-11 00:00:00,Dispõe sobre autorização de afastamento do país a servidora do IFMG - Reitoria.
398,2023-04-11 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Reitoria.
399,2023-04-11 00:00:00,Dispõe sobre Tornar público o auxílio funeral referente ao óbito de ex-servidora do IFMG - Campus Avançado Ponte Nova.
400,2023-04-11 00:00:00,Dispõe sobre Tornar público o auxílio funeral referente ao óbito de ex-servidor do IFMG - Campus Bambuí.
401,2023-04-12 00:00:00,Dispõe sobre autorização do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus Formiga e Revogação da Portaria nº 1289 de 13 de dezembro de 2022.
402,2023-04-12 00:00:00,Dispõe sobre Licença para Capacitação de servidora do IFMG – Campus Ipatinga.
403,2023-04-12 00:00:00,"Dispõe sobre suspensão do funcionamento presencial ininterrupto, no âmbito da Diretoria de Administração e Planejamento do Campus Avançado Conselheiro Lafaiete e Revogação da Portaria nº 362 de 29 de março de 2022."
406,2023-04-12 00:00:00,Dispõe sobre Tornar público o auxílio funeral referente ao óbito de ex-servidor do IFMG - Campus Ouro Preto.
407,2023-04-12 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
408,2023-04-12 00:00:00,Dispõe sobre autorização de acréscimo de horas de trabalhos anuais a servidor do IFMG - Campus Avançado Arcos.
409,2023-04-12 00:00:00,Dispõe sobre interrupção de férias de servidora do IFMG - Campus Sabará.
410,2023-04-12 00:00:00,Dispõe sobre Licença para Capacitação de servidorA do IFMG – Reitoria.
411,2023-04-12 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Reitoria.
412,2023-04-12 00:00:00,Dispõe sobre a nomeação de servidores para comporem o Rol de Responsáveis pela gestão do IFMG e Revogação da Portaria nº 797 de 26 de julho de 2022.
413,2023-04-12 00:00:00,Dispõe sobre Tornar público o auxílio funeral referente ao óbito de ex-servidor do IFMG - Campus Ouro Preto.
414,2023-04-13 00:00:00,Dispõe sobre a retificação da Portaria IFMG nº 234 de 27 de fevereiro de 2023.
415,2023-04-13 00:00:00,Dispõe sobre designação de Comissão Avaliadora - EDITAL 27/2023 - Chamada para a seleção de discentes dos cursos de graduação para o programa de mobilidade acadêmica internacional – Internacionaliza IFMG Graduação.
416,2023-04-13 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 17/2017/RER e Revogação da Portaria nº 548 de 08 de maio de 2020.
417,2023-04-13 00:00:00,Dispõe sobre Tornar público o auxílio funeral referente ao óbito de ex-servidor do IFMG - Campus Bambuí.
418,2023-04-13 00:00:00,Dispõe sobre interrupção de férias de servidor do IFMG - Campus Avançado Itabirito.
419,2023-04-13 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 05/2023.
420,2023-04-13 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 20/2023.
421,2023-04-13 00:00:00,Dispõe sobre autorização de afastamento do país a servidor do IFMG - Campus Bambuí.
422,2023-04-14 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidora Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
423,2023-04-14 00:00:00,Dispõe sobre interrupção de férias de servidora do IFMG - Campus Santa Luzia.
424,2023-04-14 00:00:00,Dispõe sobre Tornar público o auxílio funeral referente ao óbito de ex-servidora do IFMG - Campus Ouro Preto.
425,2023-04-14 00:00:00,Dispõe sobre Tornar público o auxílio funeral referente ao óbito de ex-servidor do IFMG - Campus Bambuí.
426,2023-04-14 00:00:00,Dispõe sobre Tornar público o auxílio funeral referente ao óbito de ex-servidora do IFMG - Campus Bambuí.
427,2023-04-14 00:00:00,Dispõe sobre nomeação de comissão responsável pela verificação de documentos e análise curricular das propostas submetidas para o processo seletivo simplificado regido pelo edital número 21/2023.
428,2023-04-14 00:00:00,"Dispõe sobre Licença para Capacitação de servidor (a) do IFMG – Campus São João Evangelista.
"
429,2023-04-17 00:00:00,Dispõe sobre a designação dos Gestores de Contratos e/ou Convênios Administrativos e seus substitutos no âmbito do IFMG e revogação da portaria 69 de 24 de janeiro de 2023.
430,2023-04-17 00:00:00,"Dispõe sobre a Alteração da Portaria 710/2021, que designa os membros da UGI - Unidade de Gestão de Integridade, no âmbito do IFMG."
431,2023-04-17 00:00:00,Dispõe sobre concessão de horário especial para servidor com dependente portador de deficiência - Campus Congonhas.
432,2023-04-18 00:00:00,Dispõe sobre efetivação de requisição de servidora técnico-administrativa do IFMG Campus Sabará para o Ministério da Gestão e da Inovação em Serviços Públicos.
433,2023-04-18 00:00:00,Dispõe sobre a Concessão de Aposentadoria Voluntária a servidor do IFMG - Campus Ouro Preto.
434,2023-04-18 00:00:00,"Dispõe sobre Vacância por Falecimento de Servidora do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - Campus Formiga."
435,2023-04-18 00:00:00,Dispõe sobre efetivação de requisição de servidora técnico-administrativa do IFMG Campus Congonhas para a Defensoria Pública da União - DPU.
436,2023-04-18 00:00:00,Dispõe sobre a Concessão de Abono de Permanência para servidor do IFMG – Campus Bambuí.
437,2023-04-18 00:00:00,Dispõe sobre designação de servidores responsáveis nos campi pela assinatura de documentos relacionados aos processos de emissão e registro de diploma digital e emissão de histórico escolar final dos cursos de Graduação do IFMG e Revogação da Portaria nº 587 de 27 de maio de 2022.
438,2023-04-18 00:00:00,Dispõe sobre dispensa de servidora da função de Procuradora Educacional Institucional do IFMG.
439,2023-04-19 00:00:00,Dispõe sobre Tornar público o auxílio funeral referente ao óbito de ex-servidor do IFMG - Campus Bambuí.
440,2023-04-19 00:00:00,Dispõe sobre designação de servidora para ocupar cargo - Reitoria
441,2023-04-19 00:00:00,Dispõe sobre designação de servidora para função de Procuradoria Educacional Institucional.
442,2023-04-19 00:00:00,Dispõe sobre retificação da Portaria 1321/2022.
445,2023-04-19 00:00:00,Dispõe sobre remoção de servidor Técnico Administrativo - IFMG Campus Congonhas para o IFMG Campus Betim.
446,2023-04-19 00:00:00,Dispõe sobre Exoneração de servidor do Instituto Federal de Minas Gerais - Reitoria.
447,2023-04-19 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Bambuí.
448,2023-04-20 00:00:00,Dispõe sobre Retificação da Portaria IFMG nº 337 de 29 de março de 2023.
449,2023-04-20 00:00:00,Dispõe sobre Afastamento para Participação em Ação de Desenvolvimento em Serviço de servidor do IFMG - Campus Avançado Ipatinga.
450,2023-04-20 00:00:00,"Dispõe sobre Restabelecimento de Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do Campus São João Evangelista."
451,2023-04-20 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidora Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Campus Sabará."
452,2023-04-20 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidor Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Campus Sabará."
453,2023-04-20 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidora Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Campus Sabará."
454,2023-04-20 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidora Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Campus Sabará."
455,2023-04-20 00:00:00,Dispõe sobre Licença para Tratar de Interesses Particulares a servidora do IFMG - Campus Avançado Ipatinga.
456,2023-04-20 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
457,2023-04-24 00:00:00,Dispõe sobre Designação de Chefe do Setor de Desenvolvimento e Suporte a Sistemas Substituto.
458,2024-04-24 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidores Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
459,2023-04-25 00:00:00,Dispõe sobre Afastamento para Estudo no Exterior de Servidor do IFMG - Campus Ouro Preto.
460,2023-04-25 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidores Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
461,2023-04-25 00:00:00,"Dispõe sobre o Regimento Interno do Campus Betim do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais e Revogação da Portaira 1251 de 30 de novembro de 2022."
462,2023-04-25 00:00:00,Dispõe sobre exoneração e nomeação de Coordenadores.
463,2023-04-25 00:00:00,Dispõe sobre autorização de exercício parcial de servidor lotado no IFMG Campus Avançado Conselheiro Lafaiete na Reitoria do IFMG.
464,2023-04-26 00:00:00,Dispõe sobre Retificação da Portaria nº 321 de 27 de março de 2023.
465,2023-04-26 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 43/2021.
466,26/04/0203,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 81/2021/RER/PIR e Revogação da Portaria 1326 de 22 de dezembro de 2022.
467,2023-04-26 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 2023NE000188.
468,2023-04-26 00:00:00,Dispõe sobre retificação da Portaria nº 113 de 31 de janeiro de 2023.
469,2023-04-27 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Ibirité."
470,2023-04-27 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Avançado Ponte Nova."
471,2023-04-27 00:00:00,Dispõe sobre Licença para Capacitação de servidorA do IFMG – Campus Ribeirão das Neves.
472,2023-04-27 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Betim.
473,2023-04-27 00:00:00,Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no país de servidor do IFMG - Campus Formiga.
474,2023-04-27 00:00:00,Dispõe sobre designação dos membros da Comissão de Ética no Uso de Animais em Pesquisa (CEUA) Filial São João Evangelista e revogação da Portaria n° 1115/2022 de 14 de outubro de 2022.
475,2023-04-27 00:00:00,Dispõe sobre autorização de afastamento do país a servidor do IFMG - Campus Ouro Preto.
476,2023-04-27 00:00:00,Dispõe sobre retificação da Portaria IFMG nº 415 de 13 de abril de 2023.
477,2023-04-27 00:00:00,"Dispõe sobre Regulamentação e Estruturação de Comissão Gestora de Projetos e/ou Obras no âmbito do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - IFMG."
478,2023-04-27 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Governador Valadares.
479,2023-04-27 00:00:00,Dispõe sobre autorização do funcionamento da jornada flexibilizada a servidores Técnico-Administrativo em Educação do IFMG - Campus Ibirité.
480,2023-04-27 00:00:00,Dispõe sobre autorização de funcionamento da jornada flexibilizada a servidores Técnico-Administrativo em Educação do IFMG - Campus Ibirité.
481,2023-04-27 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Sabará.
482,2023-07-28 00:00:00,Dispõe sobre Licença para Capacitação de servidora do IFMG – Campus Sabará.
483,2023-05-02 00:00:00,"Dispõe sobre designação dos membros da Comissão de Ética no Uso de Animais em Pesquisa (CEUA) Filial Bambuí e revogação das Portarias IFMG 590/2016, 1093/2016, 513/2017, 1430/2017, 826/2019, 1013/2020, 623/2022."
484,2023-05-02 00:00:00,Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no país de servidor do IFMG - Campus Avançado Ipatinga.
485,2023-05-02 00:00:00,Dispõe sobre autorização de exercício temporário de servidora lotada no IFMG - Campus Formiga no IFMG - Campus Avançado Conselheiro Lafaiete.
486,2023-05-03 00:00:00,"Dispõe sobre designação de servidora para função de Diretora Substituta e revogação da Portaria 790/2021.
"
487,2023-05-03 00:00:00,Dispõe sobre Afastamento para Participação em Ação de Desenvolvimento em Serviço de servidor do IFMG - Campus Bambuí.
488,2023-05-03 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 43/2021.
489,2023-05-03 00:00:00,Dispõe sobre Afastamento para Participação em Ação de Desenvolvimento em Serviço de servidora do IFMG - Campus Bambuí.
490,2023-05-03 00:00:00,Dispõe sobre remoção de servidor Técnico Administrativo - IFMG Campus Betim para o IFMG Campus Santa Luzia.
491,2023-05-03 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
492,2023-05-04 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Ibirité."
493,2023-05-04 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional a servidor Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
494,2023-05-04 00:00:00,Dispõe sobre Interrupção de Férias de servidor do IFMG.
495,2023-05-04 00:00:00,"Dispõe sobre a publicação da relação de concluintes que obtiveram o Certificado de Conclusão do Ensino Médio expedido eletronicamente pelo Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - IFMG com base nos resultados de desempenho obtidos no Exame Nacional para Certificação de Competências de Jovens e Adultos - Encceja."
496,2023-05-04 00:00:00,Dispõe sobre constituição da Comissão Científica do Planeta IFMG 2023.
497,2023-05-05 00:00:00,Dispõe sobre cessão de servidora do IFMG - Campus Bambuí para o IFSP.
