nome-do-campus,nome-do-curso,forma-de-oferta,candidatos-inscritos-no-processo-seletivo,vagas-ofertadas
Congonhas,Tecnico em Edificacoes (Concomitante),Tecnico Concomitante ao Ensino Médio,48,35
Congonhas,Tecnico em Mecanica (Subsequente),Tecnico Subsequente ao Ensino Médio,34,35
Congonhas,Tecnico em Mineração (Concomitante),Tecnico Subsequente ao Ensino Médio,81,35
Ibirite,Tecnico em Automacao Industrial (Concomitante),Tecnico Concomitante ao Ensino Médio,43,20
Ibirite,Tecnico em Automacao Industrial (Subsequente),Tecnico Subsequente ao Ensino Médio,45,20
Ibirite,Tecnico em Eletrotecnica (Concomitante),Tecnico Concomitante ao Ensino Médio,16,20
Ibirite,Tecnico em Eletrotecnica (Subsequente),Tecnico Subsequente ao Ensino Médio,46,20
Ibirite,Tecnico em Mecatronica (Concomitante),Tecnico Concomitante ao Ensino Médio,25,20
Ibirite,Técnico em Mecatrônica (Subsequente),Tecnico Subsequente ao Ensino Médio,43,20
