identificador,aberto-em,area,grupo-de-servico,servico,campus,status,solucionado-em
1,10/06/2019,Administrativo,Outros,GRU Token SERPRO NeoID,REITORIA,Cancelado,
2,11/06/2019,Administrativo,Outros,GRU Token SERPRO NeoID,REITORIA,Cancelado,
3,13/06/2019,Administrativo,Transporte / Frota,Pernoite de Veículos Oficiais na Reitoria,REITORIA,Fechado,13/06/2019
4,24/06/2019,Tecnologia da Informação,RT-INFRAESTRUTURA E REDES,RT - Suporte Avançado,CAMPUS OURO BRANCO,Cancelado,
5,25/06/2019,Administrativo,Portas e janelas,04 Fechadura,REITORIA,Cancelado,
6,26/06/2019,Administrativo,Cobertura,Reparo em calhas,REITORIA,Fechado,05/07/2019
7,26/06/2019,Administrativo,Hidráulica e Hidrossanitários,09 Limpeza de caixa d'água,REITORIA,Fechado,01/07/2019
8,26/06/2019,Administrativo,Hidráulica e Hidrossanitários,99 Outros serviços de hidráulica,REITORIA,Fechado,05/07/2019
9,26/06/2019,Tecnologia da Informação,RT-SUAP,"RT - Módulo Administrativo - Frotas: Erros, Dúvidas, Permissões, outros",REITORIA,Fechado,26/06/2019
10,27/06/2019,Administrativo,Outros,GRU Token SERPRO NeoID,REITORIA,Cancelado,
11,27/06/2019,Tecnologia da Informação,RT-DESKTOPS E NOTEBOOKS,RT - Criação ou mudança de ponto de redes,CAMPUS OURO BRANCO,Cancelado,
12,27/06/2019,Tecnologia da Informação,RT-DESKTOPS E NOTEBOOKS,RT - Sem acesso à Internet,CAMPUS OURO BRANCO,Cancelado,
13,27/06/2019,Tecnologia da Informação,RT-DESKTOPS E NOTEBOOKS,"RT - Internet lenta, travando ou página não carrega",CAMPUS OURO BRANCO,Cancelado,
15,01/07/2019,Tecnologia da Informação,RT-SUAP,"RT - Módulo Gestão de Pessoas - Erros, Dúvidas, Permissões, outros",REITORIA,Cancelado,
16,02/07/2019,Tecnologia da Informação,RT-DESKTOPS E NOTEBOOKS,RT - Sem acesso à Internet,REITORIA,Cancelado,
17,03/07/2019,Administrativo,Elétrica,99 Outros serviços elétricos,REITORIA,Fechado,08/07/2019
18,03/07/2019,Administrativo,Elétrica,06 Mudança de rede ou telefonia,REITORIA,Fechado,08/07/2019
19,04/07/2019,Administrativo,Hidráulica e Hidrossanitários,05 Reparo em vaso sanitário,REITORIA,Cancelado,
20,05/07/2019,Administrativo,Hidráulica e Hidrossanitários,05 Reparo em vaso sanitário,REITORIA,Cancelado,
21,08/07/2019,Administrativo,Cobertura,Limpeza de calhas,CAMPUS CONGONHAS,Cancelado,
22,09/07/2019,Administrativo,Cobertura,Limpeza de calhas,CAMPUS OURO PRETO,Cancelado,
23,19/07/2019,Processo Seletivo,Arquivos de Importação,Padrão de arquivos,REITORIA,Cancelado,
24,23/07/2019,Ensino Técnico e de Graduação,Regulamento de Ensino da EPTNM,07. Transferências,REITORIA,Fechado,24/07/2019
25,24/07/2019,Ensino Técnico e de Graduação,Encceja,01. Encceja,REITORIA,Fechado,24/07/2019
26,24/07/2019,Ensino Técnico e de Graduação,Encceja,01. Encceja,REITORIA,Fechado,24/07/2019
27,24/07/2019,Ensino Técnico e de Graduação,Regulamento de Ensino da EPTNM,07. Transferências,REITORIA,Cancelado,24/07/2019
28,26/07/2019,Ensino Técnico e de Graduação,Encceja,02. Certificação do ensino médio com base nos resultados do Encceja,REITORIA,Em atendimento,
29,30/07/2019,Ensino Técnico e de Graduação,Enem,01. Enem,REITORIA,Em atendimento,
30,07/08/2019,Administrativo,Elétrica,10 Troca de lâmpada,CAMPUS AVANCADO PIUMHI,Fechado,21/11/2019
31,07/08/2019,Ensino Técnico e de Graduação,Projetos de Ensino,Certificados,REITORIA,Cancelado,
33,13/08/2019,Pesquisa,PESQUISA,PESQUISA,REITORIA,Cancelado,
35,28/08/2019,Tecnologia da Informação,RT-DESKTOPS E NOTEBOOKS,"RT - Internet lenta, travando ou página não carrega",CAMPUS RIBEIRAO DAS NEVES,Cancelado,
36,06/09/2019,Administrativo,Hidráulica e Hidrossanitários,99 Outros serviços de hidráulica,REITORIA,Fechado,18/09/2019
38,13/09/2019,Tecnologia da Informação,RT-ACESSO / LOGIN,RT - Acessos - Login - Senha,REITORIA,Fechado,17/09/2019
39,16/09/2019,Extensão,1. Programas e Projetos,Programas e Projetos - Chamamento para colaborador externo.,REITORIA,Fechado,16/09/2019
40,17/09/2019,Tecnologia da Informação,RT-SISTEMAS DIVERSOS,RT - Acessos - Login - Senha para Sistemas,CAMPUS OURO BRANCO,Fechado,18/09/2019
41,20/09/2019,Administrativo,Elétrica,10 Troca de lâmpada,REITORIA,Fechado,23/09/2019
42,23/09/2019,Administrativo,Portas e janelas,02 Janela,REITORIA,Fechado,02/10/2019
43,23/09/2019,Administrativo,Elétrica,10 Troca de lâmpada,REITORIA,Fechado,23/09/2019
44,25/09/2019,Extensão,Egressos,Egressos - Legislação e regulamentação interna.,REITORIA,Cancelado,
45,25/09/2019,Extensão,1. Estágio,Estágio - Legislação e regulamentação interna.,REITORIA,Fechado,26/09/2019
46,25/09/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Sistema Operacional (Windows) não inicia corretamente,CAMPUS OURO BRANCO,Fechado,30/09/2019
47,26/09/2019,Administrativo,Desentupimento,01 Pia ou tanque,REITORIA,Fechado,13/11/2019
48,26/09/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,21/10/2020
49,26/09/2019,Tecnologia da Informação,RT-ACESSO / LOGIN,RT - Criação de e-mail / alterar senha,CAMPUS OURO BRANCO,Fechado,27/09/2019
50,27/09/2019,Tecnologia da Informação,RT-ACESSO / LOGIN,RT - Acessos - Login - Senha,CAMPUS OURO BRANCO,Fechado,01/10/2019
52,30/09/2019,Tecnologia da Informação,RT-INFRAESTRUTURA E REDES,RT - DNS,CAMPUS OURO BRANCO,Fechado,30/09/2019
53,30/09/2019,Tecnologia da Informação,RT-ACESSO / LOGIN,RT - Acessos - Login - Senha,CAMPUS OURO BRANCO,Fechado,02/10/2019
55,02/10/2019,Tecnologia da Informação,RT-SISTEMAS DIVERSOS,RT - Acessos - Login - Senha para Sistemas,CAMPUS OURO BRANCO,Fechado,02/10/2019
56,02/10/2019,Tecnologia da Informação,RT-INFRAESTRUTURA E REDES,RT - DNS,CAMPUS OURO BRANCO,Fechado,04/10/2019
57,03/10/2019,Tecnologia da Informação,RT-DESKTOPS E NOTEBOOKS,"RT - Instalação e configuração software Livre/freewere (Chrome, firefox, Java, leitor e conversor de PDF, etc)",CAMPUS OURO BRANCO,Fechado,03/10/2019
58,03/10/2019,Administrativo,Elétrica,10 Troca de lâmpada,REITORIA,Fechado,19/11/2019
59,04/10/2019,Administrativo,Elétrica,10 Troca de lâmpada,REITORIA,Fechado,19/11/2019
60,04/10/2019,Tecnologia da Informação,RT-INFRAESTRUTURA E REDES,RT - DNS,CAMPUS OURO BRANCO,Fechado,04/10/2019
61,04/10/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,08/10/2019
62,07/10/2019,Tecnologia da Informação,OBR-ARMAZENAMENTO DE DADOS,OBR-Arquivo ou pasta inacessível,CAMPUS OURO BRANCO,Fechado,07/10/2019
63,08/10/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Instalação de software,CAMPUS OURO BRANCO,Fechado,09/10/2019
64,08/10/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Configuração de software,CAMPUS OURO BRANCO,Fechado,08/10/2019
65,09/10/2019,Administrativo,Elétrica,10 Troca de lâmpada,REITORIA,Fechado,30/10/2019
66,09/10/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Instalação de software,CAMPUS OURO BRANCO,Fechado,09/10/2019
67,09/10/2019,Tecnologia da Informação,OBR-TELEFONIA,OBR-Ramal inoperante,CAMPUS OURO BRANCO,Fechado,09/10/2019
68,09/10/2019,Tecnologia da Informação,OBR-EMAIL-ACESSOS,OBR-Office 365 - Dificuldade de acesso,CAMPUS OURO BRANCO,Fechado,22/10/2019
69,10/10/2019,Tecnologia da Informação,OBR-LABORATÓRIOS DE INFORMÁTICA,OBR-Monitor inoperante,CAMPUS OURO BRANCO,Fechado,21/10/2019
70,11/10/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Instalação de estação de trabalho,CAMPUS OURO BRANCO,Fechado,11/10/2019
71,17/10/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Alteração/Movimentação de estação de trabalho,CAMPUS OURO BRANCO,Fechado,18/10/2019
72,17/10/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Instalação de software,CAMPUS OURO BRANCO,Fechado,24/10/2019
73,18/10/2019,Tecnologia da Informação,OBR-COMPUTADORES,"OBR-Periféricos com problema (mouse, teclado, estabilizador, etc)",CAMPUS OURO BRANCO,Fechado,21/10/2019
74,18/10/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Configuração de software,CAMPUS OURO BRANCO,Fechado,21/10/2019
75,19/10/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,25/10/2019
76,21/10/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,21/10/2019
77,21/10/2019,Tecnologia da Informação,OBR-EMAIL-ACESSOS,OBR-Reset de senha de e-mail,CAMPUS OURO BRANCO,Fechado,22/10/2019
78,22/10/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,01/11/2019
79,22/10/2019,Tecnologia da Informação,RT-SUAP,"RT - Módulo Pesquisa - Erros, Dúvidas, Permissões, outros",REITORIA,Fechado,18/11/2019
80,22/10/2019,Tecnologia da Informação,RT-SUAP,"RT - Módulo Extensão - Erros, Dúvidas, Permissões, outros",REITORIA,Cancelado,
81,23/10/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,25/10/2019
82,25/10/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,05/11/2019
83,29/10/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,01/11/2019
84,31/10/2019,Pesquisa,PESQUISA,PESQUISA,REITORIA,Aberto,
85,01/11/2019,Tecnologia da Informação,RT-DESKTOPS E NOTEBOOKS,RT - Acesso às pastas compartilhadas restritas do setor,REITORIA,Cancelado,
86,01/11/2019,Tecnologia da Informação,RT-SISTEMAS DIVERSOS,RT - SEI,REITORIA,Fechado,01/11/2019
87,01/11/2019,Tecnologia da Informação,OBR-COMPUTADORES,"OBR-Periféricos com problema (mouse, teclado, estabilizador, etc)",CAMPUS OURO BRANCO,Fechado,04/11/2019
88,04/11/2019,Tecnologia da Informação,OBR-EMAIL-ACESSOS,OBR-Criação de e-mail para novo servidor/colaborador,CAMPUS OURO BRANCO,Fechado,07/11/2019
89,04/11/2019,Tecnologia da Informação,OBR-EMAIL-ACESSOS,OBR-Listas de e-mail,CAMPUS OURO BRANCO,Fechado,06/11/2019
90,04/11/2019,Tecnologia da Informação,OBR-ARMAZENAMENTO DE DADOS,OBR-Arquivo ou pasta inacessível,CAMPUS OURO BRANCO,Fechado,04/11/2019
91,05/11/2019,Tecnologia da Informação,OBR-EMAIL-ACESSOS,OBR-Reset de senha de e-mail,CAMPUS OURO BRANCO,Fechado,05/11/2019
92,05/11/2019,Tecnologia da Informação,OBR-ARMAZENAMENTO DE DADOS,OBR-Arquivo ou pasta inacessível,CAMPUS OURO BRANCO,Fechado,07/11/2019
93,05/11/2019,Tecnologia da Informação,OBR-LABORATÓRIOS DE INFORMÁTICA,OBR-Instalações de softwares,CAMPUS OURO BRANCO,Fechado,12/03/2020
94,06/11/2019,Tecnologia da Informação,RT-INFRAESTRUTURA E REDES,RT - Maquinas Virtuais,REITORIA,Fechado,06/11/2019
95,06/11/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,07/11/2019
96,06/11/2019,Tecnologia da Informação,OBR-SISTEMAS,OBR-SUAP,CAMPUS OURO BRANCO,Fechado,11/11/2019
97,07/11/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Alteração/Movimentação de estação de trabalho,CAMPUS OURO BRANCO,Fechado,07/11/2019
98,07/11/2019,Tecnologia da Informação,OBR-IMPRESSÃO,OBR-Digitalização com falhas,CAMPUS OURO BRANCO,Fechado,07/11/2019
99,07/11/2019,Tecnologia da Informação,OBR-IMPRESSÃO,OBR-Impressora inoperante/obstruída,CAMPUS OURO BRANCO,Fechado,07/11/2019
100,07/11/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Instalação de software,CAMPUS OURO BRANCO,Fechado,07/11/2019
101,07/11/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,07/11/2019
102,07/11/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Sem conexão com a rede interna,CAMPUS OURO BRANCO,Fechado,08/11/2019
103,08/11/2019,Tecnologia da Informação,OBR-IMPRESSÃO,OBR-Impressora inoperante/obstruída,CAMPUS OURO BRANCO,Fechado,20/11/2019
104,08/11/2019,Tecnologia da Informação,OBR-SISTEMAS,OBR-SEI,CAMPUS OURO BRANCO,Fechado,08/11/2019
105,08/11/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Alteração/Movimentação de estação de trabalho,CAMPUS OURO BRANCO,Cancelado,
106,08/11/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Alteração/Movimentação de estação de trabalho,CAMPUS OURO BRANCO,Fechado,08/11/2019
107,08/11/2019,Tecnologia da Informação,OBR-LABORATÓRIOS DE INFORMÁTICA,OBR-Computador  não liga,CAMPUS OURO BRANCO,Fechado,20/11/2019
108,11/11/2019,Tecnologia da Informação,RT-INFRAESTRUTURA E REDES,RT - Suporte Avançado,REITORIA,Fechado,04/09/2020
109,11/11/2019,Administrativo,Hidráulica e Hidrossanitários,05 Reparo em vaso sanitário,REITORIA,Fechado,11/11/2019
110,11/11/2019,Tecnologia da Informação,OBR-EMAIL-ACESSOS,OBR-Criação de e-mail para novo servidor/colaborador,CAMPUS OURO BRANCO,Fechado,20/11/2019
111,11/11/2019,Tecnologia da Informação,RT-INFRAESTRUTURA E REDES,RT - DNS,REITORIA,Fechado,18/11/2019
112,12/11/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,12/11/2019
113,12/11/2019,Tecnologia da Informação,OBR-LABORATÓRIOS DE INFORMÁTICA,OBR-Ajustes de softwares,CAMPUS OURO BRANCO,Fechado,29/11/2019
114,12/11/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Monitor adicional,CAMPUS OURO BRANCO,Fechado,12/11/2019
115,12/11/2019,Tecnologia da Informação,OBR-ARMAZENAMENTO DE DADOS,OBR-Solicitação de acesso,CAMPUS OURO BRANCO,Fechado,12/11/2019
116,12/11/2019,Tecnologia da Informação,RT-SISTEMAS DIVERSOS,RT - Portais Web,REITORIA,Fechado,18/11/2019
117,13/11/2019,Tecnologia da Informação,OBR-SISTEMAS,OBR-DNS,CAMPUS OURO BRANCO,Fechado,20/11/2019
118,14/11/2019,Tecnologia da Informação,OBR-SISTEMAS,OBR-SUAP,CAMPUS OURO BRANCO,Fechado,14/11/2019
119,14/11/2019,Tecnologia da Informação,OBR-SISTEMAS,OBR-MeuIFMG,CAMPUS OURO BRANCO,Fechado,12/12/2019
120,14/11/2019,Tecnologia da Informação,OBR-SISTEMAS,OBR-DNS,CAMPUS OURO BRANCO,Fechado,18/11/2019
121,14/11/2019,Tecnologia da Informação,OBR-TELEFONIA,OBR-Ramal inoperante,CAMPUS OURO BRANCO,Fechado,18/11/2019
122,14/11/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Sem conexão com a rede interna,CAMPUS OURO BRANCO,Fechado,18/11/2019
123,18/11/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Sistema Operacional (Windows) não inicia corretamente,CAMPUS OURO BRANCO,Fechado,18/11/2019
124,18/11/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Computador não liga,CAMPUS OURO BRANCO,Fechado,20/11/2019
125,18/11/2019,Tecnologia da Informação,OBR-SISTEMAS,OBR-SEI,CAMPUS OURO BRANCO,Fechado,25/08/2020
126,18/11/2019,Tecnologia da Informação,OBR-IMPRESSÃO,OBR-Impressora inoperante/obstruída,CAMPUS OURO BRANCO,Fechado,18/11/2019
127,19/11/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Monitor não liga,CAMPUS OURO BRANCO,Fechado,21/11/2019
128,19/11/2019,Administrativo,Elétrica,10 Troca de lâmpada,REITORIA,Fechado,25/11/2019
129,19/11/2019,Administrativo,Portas e janelas,02 Janela,REITORIA,Fechado,19/11/2019
130,20/11/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,22/11/2019
131,20/11/2019,Tecnologia da Informação,OBR-SISTEMAS,OBR-SEI,CAMPUS OURO BRANCO,Fechado,20/11/2019
134,21/11/2019,Tecnologia da Informação,RT-SISTEMAS DIVERSOS,RT - SEI,REITORIA,Fechado,21/11/2019
135,21/11/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Computador não liga,CAMPUS OURO BRANCO,Fechado,21/11/2019
136,21/11/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Computador não liga,CAMPUS OURO BRANCO,Fechado,22/11/2019
137,21/11/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,21/11/2019
138,21/11/2019,Tecnologia da Informação,OBR-TELEFONIA,OBR-Ramal inoperante,CAMPUS OURO BRANCO,Fechado,21/11/2019
139,21/11/2019,Administrativo,Elétrica,99 Outros serviços elétricos,REITORIA,Fechado,21/11/2019
140,22/11/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,29/11/2019
141,22/11/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,12/03/2020
142,22/11/2019,Tecnologia da Informação,OBR-EMAIL-ACESSOS,OBR-Criação de e-mail para novo servidor/colaborador,CAMPUS OURO BRANCO,Cancelado,
143,22/11/2019,Tecnologia da Informação,OBR-LABORATÓRIOS DE INFORMÁTICA,OBR-Computador  não liga,CAMPUS OURO BRANCO,Fechado,28/11/2019
144,22/11/2019,Tecnologia da Informação,OBR-EMAIL-ACESSOS,OBR-Criação de e-mail para novo servidor/colaborador,CAMPUS OURO BRANCO,Fechado,29/11/2019
145,25/11/2019,Tecnologia da Informação,OBR-IMPRESSÃO,OBR-Impressora inoperante/obstruída,CAMPUS OURO BRANCO,Fechado,25/11/2019
146,25/11/2019,Tecnologia da Informação,OBR-SISTEMAS,OBR-Conecta,CAMPUS OURO BRANCO,Fechado,25/11/2019
147,25/11/2019,Tecnologia da Informação,OBR-EMAIL-ACESSOS,OBR-Listas de e-mail,CAMPUS OURO BRANCO,Fechado,25/11/2019
148,25/11/2019,Tecnologia da Informação,OBR-LABORATÓRIOS DE INFORMÁTICA,OBR-Computador  não liga,CAMPUS OURO BRANCO,Fechado,28/11/2019
149,26/11/2019,Tecnologia da Informação,OBR-SISTEMAS,OBR-SEI,CAMPUS OURO BRANCO,Fechado,27/11/2019
150,26/11/2019,Tecnologia da Informação,OBR-IMPRESSÃO,OBR-Digitalização com falhas,CAMPUS OURO BRANCO,Fechado,27/11/2019
151,27/11/2019,Administrativo,Hidráulica e Hidrossanitários,11 Vazamentos,REITORIA,Fechado,27/11/2019
152,27/11/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Instalação de software,CAMPUS OURO BRANCO,Fechado,28/11/2019
153,27/11/2019,Tecnologia da Informação,RT-DESKTOPS E NOTEBOOKS,"RT - Instalação e configuração software licenciado (AutoCAD, CorelDraw, MS-Office, etc)",REITORIA,Cancelado,
156,27/11/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,05/12/2019
157,27/11/2019,Tecnologia da Informação,OBR-IMPRESSÃO,OBR-Digitalização com falhas,CAMPUS OURO BRANCO,Fechado,28/11/2019
158,28/11/2019,Administrativo,Portas e janelas,01 Porta,REITORIA,Fechado,28/11/2019
159,28/11/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,28/11/2019
160,29/11/2019,Administrativo,Hidráulica e Hidrossanitários,99 Outros serviços de hidráulica,REITORIA,Fechado,29/11/2019
161,29/11/2019,Administrativo,Elétrica,10 Troca de lâmpada,REITORIA,Fechado,29/11/2019
162,29/11/2019,Administrativo,Desentupimento,02 Vaso sanitário,REITORIA,Fechado,29/11/2019
163,29/11/2019,Tecnologia da Informação,OBR-SISTEMAS,OBR-DNS,CAMPUS OURO BRANCO,Fechado,03/12/2019
164,29/11/2019,Tecnologia da Informação,OBR-TELEFONIA,OBR-Chamada não completada,CAMPUS OURO BRANCO,Fechado,29/11/2019
165,02/12/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,02/12/2019
166,02/12/2019,Tecnologia da Informação,OBR-SISTEMAS,OBR-SEI,CAMPUS OURO BRANCO,Fechado,02/12/2019
167,02/12/2019,Tecnologia da Informação,OBR-ARMAZENAMENTO DE DADOS,OBR-Solicitação de acesso,CAMPUS OURO BRANCO,Fechado,03/12/2019
168,03/12/2019,Administrativo,Hidráulica e Hidrossanitários,99 Outros serviços de hidráulica,REITORIA,Fechado,03/12/2019
169,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
170,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
171,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
172,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
173,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
174,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
175,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
176,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
177,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
178,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
179,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
180,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
181,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
182,03/12/2019,Administrativo,Elétrica,99 Outros serviços elétricos,REITORIA,Fechado,03/12/2019
183,03/12/2019,Administrativo,Elétrica,99 Outros serviços elétricos,REITORIA,Fechado,03/12/2019
184,03/12/2019,Administrativo,Hidráulica e Hidrossanitários,99 Outros serviços de hidráulica,REITORIA,Fechado,03/12/2019
185,03/12/2019,Administrativo,Hidráulica e Hidrossanitários,99 Outros serviços de hidráulica,REITORIA,Fechado,03/12/2019
186,03/12/2019,Administrativo,Elétrica,99 Outros serviços elétricos,REITORIA,Fechado,03/12/2019
187,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
188,03/12/2019,Administrativo,Elétrica,99 Outros serviços elétricos,REITORIA,Fechado,03/12/2019
189,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
190,03/12/2019,Administrativo,Elétrica,99 Outros serviços elétricos,REITORIA,Fechado,03/12/2019
191,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
192,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
193,03/12/2019,Administrativo,Cobertura,X Outros serviços de cobertura,REITORIA,Fechado,03/12/2019
194,03/12/2019,Tecnologia da Informação,OBR-IMPRESSÃO,OBR-Impressão com falhas,CAMPUS OURO BRANCO,Fechado,04/12/2019
195,04/12/2019,Tecnologia da Informação,OBR-ARMAZENAMENTO DE DADOS,OBR-Solicitação de acesso,CAMPUS OURO BRANCO,Fechado,04/12/2019
196,04/12/2019,Tecnologia da Informação,OBR-ARMAZENAMENTO DE DADOS,OBR-Solicitação de acesso,CAMPUS OURO BRANCO,Fechado,06/12/2019
197,04/12/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Instalação de software,CAMPUS OURO BRANCO,Fechado,05/12/2019
198,04/12/2019,Tecnologia da Informação,OBR-SISTEMAS,OBR-SUAP,CAMPUS OURO BRANCO,Fechado,05/12/2019
199,05/12/2019,Administrativo,Elétrica,99 Outros serviços elétricos,REITORIA,Fechado,16/12/2019
200,05/12/2019,Administrativo,Portas e janelas,99 Outras esquadrias,REITORIA,Fechado,06/12/2019
201,05/12/2019,Administrativo,Elétrica,10 Troca de lâmpada,REITORIA,Fechado,05/12/2019
202,05/12/2019,Tecnologia da Informação,OBR-IMPRESSÃO,OBR-Relatório de impressões,CAMPUS OURO BRANCO,Fechado,09/12/2019
203,05/12/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Monitor não liga,CAMPUS OURO BRANCO,Fechado,09/10/2020
204,05/12/2019,Tecnologia da Informação,OBR-ARMAZENAMENTO DE DADOS,OBR-Solicitação de acesso,CAMPUS OURO BRANCO,Fechado,05/12/2019
205,05/12/2019,Tecnologia da Informação,OBR-EMAIL-ACESSOS,OBR-Criação de e-mail para novo servidor/colaborador,CAMPUS OURO BRANCO,Fechado,09/12/2019
206,05/12/2019,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Sem conexão com a Internet,CAMPUS OURO BRANCO,Fechado,05/12/2019
207,05/12/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,06/12/2019
208,05/12/2019,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,23/01/2020
209,06/12/2019,Administrativo,Elétrica,01 Criação de ponto de energia,REITORIA,Fechado,16/01/2020
210,06/12/2019,Tecnologia da Informação,OBR-COMPUTADORES,"OBR-Periféricos com problema (mouse, teclado, estabilizador, etc)",CAMPUS OURO BRANCO,Fechado,09/12/2019
212,09/12/2019,Administrativo,Elétrica,04 Mudança de ponto de energia,REITORIA,Fechado,09/12/2019
