identificador,aberto-em,area,grupo-de-servico,servico,campus,status,solucionado-em
5035,18/07/2022,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,"RT-Webconferencia, Certificados SSL outros recursos RNP",REITORIA,Cancelado,
5036,18/07/2022,SUAP,Módulo - Almoxarifado,Erros no SUAP - módulo Almoxarifado,REITORIA,Fechado,18/07/2022
5037,18/07/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,18/07/2022
5038,18/07/2022,Administrativo,Hidráulica e Hidrossanitários,99 Outros serviços de hidráulica,CAMPUS IBIRITÉ,Fechado,20/07/2022
5039,18/07/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS IBIRITÉ,Fechado,12/08/2022
5040,18/07/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,26/07/2022
5041,18/07/2022,Administrativo,Elétrica,10 Troca de lâmpada,CAMPUS IBIRITÉ,Fechado,26/07/2022
5042,18/07/2022,Administrativo,Elétrica,07 Manutenção em quadro elétrico,CAMPUS IBIRITÉ,Cancelado,
5043,18/07/2022,Administrativo,Contratos,01 Processo SEI - Novo CONTRATO,REITORIA,Fechado,19/07/2022
5044,18/07/2022,SUAP,Módulo - Planejamento Estratégico,Alteração de cadastros - módulo Planejamento Estratégico,REITORIA,Fechado,19/07/2022
5045,18/07/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,18/07/2022
5046,18/07/2022,SUAP,Módulo - Central de Serviços,Permissões de acesso - módulo Central de Serviços,REITORIA,Fechado,04/08/2022
5047,18/07/2022,Tecnologia da Informação,IBI - Equipamentos,IBI - Instação de Softwares,CAMPUS IBIRITÉ,Fechado,03/08/2022
5048,18/07/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,19/07/2022
5049,18/07/2022,Tecnologia da Informação,SL-Aluno,SL-Suporte de Rede WiFi ao Aluno,CAMPUS SANTA LUZIA,Fechado,18/07/2022
